Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","4u7","C_0402_1005Metric",122.737500,-76.250000,-90.000000,top
"C2","1u","C_0402_1005Metric",128.537500,-76.250000,-90.000000,top
"C3","4u7","C_0402_1005Metric",132.600000,-75.880000,90.000000,top
"C4","100n","C_0402_1005Metric",133.800000,-75.880000,90.000000,top
"C5","10n","C_0402_1005Metric",143.800000,-75.800000,90.000000,top
"C6","1u","C_0402_1005Metric",145.000000,-75.800000,90.000000,top
"C7","15p","C_0402_1005Metric",146.000000,-80.200000,-90.000000,top
"C8","15p","C_0402_1005Metric",146.000000,-78.200000,90.000000,top
"C9","100n","C_0402_1005Metric",108.000000,-61.600000,-90.000000,top
"C10","100n","C_0402_1005Metric",151.800000,-61.200000,-90.000000,top
"C11","100n","C_0402_1005Metric",121.200000,-95.200000,90.000000,top
"C12","100n","C_0402_1005Metric",146.400000,-95.200000,90.000000,top
"D1","LED","LED_0603_1608Metric",125.200000,-73.600000,0.000000,top
"D2","LED","LED_0603_1608Metric",148.400000,-59.987500,-90.000000,top
"D3","LED","LED_0603_1608Metric",144.857142,-59.987500,-90.000000,top
"D4","LED","LED_0603_1608Metric",141.314285,-59.987500,-90.000000,top
"D5","LED","LED_0603_1608Metric",137.771428,-59.987500,-90.000000,top
"D6","LED","LED_0603_1608Metric",134.228571,-59.987500,-90.000000,top
"D7","LED","LED_0603_1608Metric",130.685714,-59.987500,-90.000000,top
"D8","LED","LED_0603_1608Metric",127.142857,-59.987500,-90.000000,top
"D9","LED","LED_0603_1608Metric",123.600000,-59.987500,-90.000000,top
"F1","500mA","Fuse_0402_1005Metric",120.937500,-75.850000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","SHOU-HAN-TYPE-C-16PFS-2J-H7-45-IPX8",107.200000,-83.700000,-90.000000,top
"R1","5k1","R_0402_1005Metric",111.400000,-89.600000,0.000000,top
"R2","5k1","R_0402_1005Metric",111.490000,-77.600000,0.000000,top
"R3","330R","R_0402_1005Metric",128.000000,-74.200000,180.000000,top
"R5","10k","R_0402_1005Metric",115.600000,-72.600000,180.000000,top
"R6","330R","R_0402_1005Metric",148.400000,-63.787500,90.000000,top
"R7","330R","R_0402_1005Metric",144.857142,-63.787500,90.000000,top
"R8","330R","R_0402_1005Metric",141.314285,-63.787500,90.000000,top
"R9","330R","R_0402_1005Metric",137.771428,-63.787500,90.000000,top
"R10","330R","R_0402_1005Metric",134.228571,-63.787500,90.000000,top
"R11","330R","R_0402_1005Metric",130.685714,-63.787500,90.000000,top
"R12","330R","R_0402_1005Metric",127.142857,-63.787500,90.000000,top
"R13","330R","R_0402_1005Metric",123.600000,-63.787500,90.000000,top
"SW1","SW_SPDT","MK-12C02-G025",111.200000,-71.900000,90.000000,top
"SW2","SW_Push","XKB_TS_1187A_X_X_X",112.400000,-62.125000,180.000000,top
"SW3","SW_Push","XKB_TS_1187A_X_X_X",156.200000,-61.800000,180.000000,top
"SW4","SW_Push","XKB_TS_1187A_X_X_X",117.000000,-94.600000,0.000000,top
"SW5","SW_Push","XKB_TS_1187A_X_X_X",150.800000,-94.600000,0.000000,top
"U1","LP5907MFX-3.3","SOT-23-5",125.600000,-76.800000,0.000000,top
"U2","STM32F070F6Px","TSSOP-20_4.4x6.5mm_P0.65mm",138.600000,-76.000000,180.000000,top
"Y1","8Mhz Crystal","Crystal_SMD_3225-4Pin_3.2x2.5mm",148.600000,-79.000000,-90.000000,top
